CODGEO,total_establishment,micro_firms,small_firms,medium_firms,large_firms,agriculture_est,industry_est,construction_est,commerce_transport_est,public_est
02040,7,6,0,0,0,3,0,0,3,1
02041,9,8,1,0,0,1,0,2,3,3
02042,8,7,1,0,0,4,0,3,0,1
02043,1,1,0,0,0,0,0,0,0,1
02044,2,2,0,0,0,0,0,1,0,1
02046,29,20,6,1,0,4,0,2,19,4
02047,6,5,0,0,0,3,0,0,1,2
02048,4,4,0,0,0,1,0,0,2,1
02049,8,3,2,0,0,0,2,1,3,2
02050,6,5,0,0,0,2,0,0,2,2
02051,13,13,0,0,0,12,0,0,0,1
02052,2,2,0,0,0,1,0,0,0,1
02053,24,21,0,0,0,18,0,1,4,1
02054,14,12,0,0,0,3,0,2,5,4
02055,2,2,0,0,0,0,0,1,0,1
02056,3,2,0,0,0,1,0,0,1,1
02057,35,24,6,1,0,6,5,3,15,6
02058,22,18,4,0,0,0,2,4,9,7
02059,44,33,7,3,0,0,9,2,24,9
02060,6,5,1,0,0,2,0,2,1,1
02061,1,1,0,0,0,0,0,0,0,1
02062,5,4,1,0,0,1,0,0,3,1
02063,6,6,0,0,0,2,0,1,2,1
02064,60,45,11,1,0,0,5,8,31,16
02065,17,13,1,1,0,2,3,2,6,4
02066,4,2,2,0,0,0,1,2,1,0
02067,6,5,0,0,0,3,1,1,0,1
02068,3,2,0,0,0,2,0,0,0,1
02069,2,2,0,0,0,1,0,0,0,1
02070,12,10,0,0,0,5,1,1,2,3
02071,18,10,1,0,0,0,0,2,14,2
02072,2,2,0,0,0,0,0,1,0,1
02073,11,8,1,0,0,1,0,1,6,3
02074,5,5,0,0,0,0,1,0,2,2
02075,3,3,0,0,0,1,0,1,0,1
02076,5,4,0,0,0,2,1,1,0,1
02077,8,8,0,0,0,1,1,1,2,3
02078,2,2,0,0,0,0,0,0,0,2
02079,4,4,0,0,0,2,0,1,0,1
02080,5,4,0,0,0,2,0,0,2,1
02081,5,4,1,0,0,0,1,0,2,2
02082,4,4,0,0,0,1,0,1,1,1
02083,9,9,0,0,0,3,1,2,1,2
02084,9,8,0,0,0,5,0,1,2,1
02085,26,18,7,1,0,2,4,5,13,2
02086,10,7,3,0,0,3,0,4,1,2
02087,2,2,0,0,0,1,0,0,0,1
02088,1,1,0,0,0,0,0,0,0,1
02089,28,14,10,3,0,3,2,2,16,5
02090,5,5,0,0,0,3,0,0,1,1
02091,2,2,0,0,0,0,0,0,1,1
02093,17,13,4,0,0,0,2,1,10,4
02094,27,21,5,0,0,8,3,4,11,1
02095,146,107,22,8,0,14,12,11,77,32
02096,4,2,0,0,0,2,0,1,0,1
02097,13,10,1,0,0,6,0,3,2,2
02098,16,14,0,0,0,10,1,1,2,2
02099,3,3,0,0,0,1,0,0,1,1
02100,6,5,0,0,0,3,0,0,2,1
02101,5,5,0,0,0,2,1,0,1,1
02102,7,6,1,0,0,2,0,0,4,1
02103,37,29,4,0,2,2,5,4,18,8
02104,2,2,0,0,0,0,0,1,0,1
02105,5,5,0,0,0,2,0,2,0,1
02106,12,10,0,1,0,0,2,2,4,4
02107,2,2,0,0,0,1,0,0,0,1
02108,2,2,0,0,0,0,0,0,0,2
02109,14,10,2,0,0,4,0,3,5,2
02110,65,44,13,4,0,2,11,7,35,10
02111,7,6,1,0,0,0,1,1,3,2
02112,9,7,0,0,0,3,1,3,0,2
02114,43,27,12,2,0,4,4,8,22,5
02115,5,5,0,0,0,3,0,0,1,1
02116,2,2,0,0,0,0,1,0,0,1
02117,2,1,0,0,0,0,1,0,0,1
02118,3,3,0,0,0,0,0,0,1,2
02119,7,5,0,0,0,2,0,1,3,1
02120,6,4,2,0,0,1,3,0,1,1
02121,8,8,0,0,0,0,0,0,6,2
02122,3,2,0,0,0,1,0,1,0,1
02123,7,7,0,0,0,3,1,0,1,2
02124,7,6,0,0,0,0,1,2,2,2
02125,9,8,1,0,0,1,0,2,5,1
02126,17,17,0,0,0,2,1,4,6,4
02127,7,6,0,0,0,3,0,1,2,1
02128,47,37,8,0,0,0,4,9,28,6
02129,3,3,0,0,0,1,0,0,1,1
02130,5,3,0,0,0,1,0,0,2,2
02131,39,30,5,1,1,1,8,8,16,6
02132,5,5,0,0,0,1,0,1,2,1
02133,10,7,0,0,0,6,0,0,2,2
02134,27,20,5,1,0,2,3,3,15,4
02135,22,13,1,1,1,4,3,2,10,3
02136,8,5,0,0,0,5,0,1,1,1
02137,5,3,0,0,0,2,0,0,2,1
02138,2,2,0,0,0,0,0,1,1,0
02139,8,7,1,0,0,3,0,2,1,2
02140,12,11,1,0,0,4,0,3,2,3
02141,64,45,11,6,0,2,9,0,36,17
02142,3,3,0,0,0,0,0,2,0,1
02143,13,9,3,0,0,0,0,0,6,7
02144,4,4,0,0,0,0,0,0,3,1
02145,8,6,1,0,0,0,0,5,1,2
02146,3,3,0,0,0,1,1,0,0,1
02148,5,4,0,0,0,1,0,0,3,1
02149,4,4,0,0,0,1,1,1,0,1
02150,2,2,0,0,0,0,0,0,1,1
02151,1,1,0,0,0,0,0,0,0,1
02152,2,2,0,0,0,2,0,0,0,0
02153,10,9,0,0,0,2,0,1,2,5
02154,9,7,2,0,0,1,0,3,2,3
02155,2,2,0,0,0,0,1,0,0,1
02156,3,3,0,0,0,1,1,0,0,1
02157,81,51,23,1,2,1,3,3,71,3
02158,15,8,4,1,1,0,1,0,11,3
02159,6,6,0,0,0,2,0,1,2,1
02160,13,12,0,0,0,3,0,3,5,2
02162,7,7,0,0,0,2,0,4,0,1
02163,127,98,19,4,0,44,7,7,49,20
02164,8,6,0,0,0,4,0,2,1,1
02165,31,27,2,1,0,0,9,3,12,7
02166,3,3,0,0,0,1,1,0,0,1
02167,11,9,0,0,0,2,1,2,3,3
02168,583,434,94,19,5,3,34,25,433,88
02169,4,1,0,0,0,3,0,0,0,1
02170,2,2,0,0,0,0,0,0,1,1
02171,3,3,0,0,0,2,0,0,0,1
02172,10,9,1,0,0,3,2,1,2,2
